Journal,Count
PLANT PHYSIOLOGY,5854
THE PLANT JOURNAL : FOR CELL AND MOLECULAR BIOLOGY,4491
THE PLANT CELL,3873
FRONTIERS IN PLANT SCIENCE,3350
JOURNAL OF EXPERIMENTAL BOTANY,2476
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2045
PLANT & CELL PHYSIOLOGY,1858
PLANT SIGNALING & BEHAVIOR,1747
PLANT MOLECULAR BIOLOGY,1715
PLOS ONE,1592
THE NEW PHYTOLOGIST,1545
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,1477
PLANTA,1395
BMC PLANT BIOLOGY,1165
THE JOURNAL OF BIOLOGICAL CHEMISTRY,1138
PLANT PHYSIOLOGY AND BIOCHEMISTRY : PPB,921
PLANT SCIENCE : AN INTERNATIONAL JOURNAL OF EXPERIMENTAL PLANT BIOLOGY,879
"METHODS IN MOLECULAR BIOLOGY (CLIFTON, N.J.)",875
SCIENTIFIC REPORTS,858
"PLANT, CELL & ENVIRONMENT",807
MOLECULAR PLANT,790
PLANT CELL REPORTS,707
"PLANTS (BASEL, SWITZERLAND)",669
JOURNAL OF PLANT PHYSIOLOGY,609
FEBS LETTERS,599
"DEVELOPMENT (CAMBRIDGE, ENGLAND)",589
NUCLEIC ACIDS RESEARCH,586
BMC GENOMICS,550
PLOS GENETICS,546
MOLECULAR PLANT-MICROBE INTERACTIONS : MPMI,539
CURRENT BIOLOGY : CB,539
NATURE COMMUNICATIONS,518
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,511
JOURNAL OF INTEGRATIVE PLANT BIOLOGY,511
PHYSIOLOGIA PLANTARUM,492
GENE,462
GENETICS,410
PLANT BIOTECHNOLOGY JOURNAL,408
"SCIENCE (NEW YORK, N.Y.)",389
NATURE,334
NATURE PLANTS,322
PHYTOCHEMISTRY,319
TAG. THEORETICAL AND APPLIED GENETICS. THEORETISCHE UND ANGEWANDTE GENETIK,304
THE EMBO JOURNAL,290
BIOCHIMICA ET BIOPHYSICA ACTA,286
MOLECULAR PLANT PATHOLOGY,279
GENES,266
ANNALS OF BOTANY,257
TRENDS IN PLANT SCIENCE,251
THE BIOCHEMICAL JOURNAL,245
"PLANT BIOLOGY (STUTTGART, GERMANY)",232
"BIOSCIENCE, BIOTECHNOLOGY, AND BIOCHEMISTRY",231
CURRENT OPINION IN PLANT BIOLOGY,229
PLANT METHODS,229
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,214
FUNCTIONAL PLANT BIOLOGY : FPB,210
JOURNAL OF PLANT RESEARCH,210
MOLECULAR GENETICS AND GENOMICS : MGG,210
GENES & DEVELOPMENT,205
MOLECULAR BIOLOGY REPORTS,197
MOLECULAR BIOLOGY AND EVOLUTION,190
CELL,182
PLANT DIRECT,181
MOLECULES AND CELLS,173
PROTOPLASMA,171
MOLECULAR & GENERAL GENETICS : MGG,169
ELIFE,168
DEVELOPMENTAL CELL,162
GENOME BIOLOGY,158
PEERJ,146
HORTICULTURE RESEARCH,146
BIOCHEMISTRY,137
PHOTOSYNTHESIS RESEARCH,136
BMC BIOINFORMATICS,129
"BIOINFORMATICS (OXFORD, ENGLAND)",127
THE FEBS JOURNAL,126
JOURNAL OF MOLECULAR BIOLOGY,124
TRANSGENIC RESEARCH,124
FRONTIERS IN GENETICS,118
BIO-PROTOCOL,113
"PLANT BIOTECHNOLOGY (TOKYO, JAPAN)",112
PLOS PATHOGENS,111
FRONTIERS IN MICROBIOLOGY,107
JOURNAL OF CELL SCIENCE,106
MOLECULAR ECOLOGY,102
CELL RESEARCH,100
AMERICAN JOURNAL OF BOTANY,100
EUROPEAN JOURNAL OF BIOCHEMISTRY,99
PLANT COMMUNICATIONS,98
"G3 (BETHESDA, MD.)",98
FUNCTIONAL & INTEGRATIVE GENOMICS,96
DNA RESEARCH : AN INTERNATIONAL JOURNAL FOR RAPID PUBLICATION OF REPORTS ON GENES AND GENOMES,96
CELL REPORTS,94
GENOME RESEARCH,92
BIOCHEMICAL SOCIETY TRANSACTIONS,92
GENOME,92
PLOS BIOLOGY,89
PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS : AN INTERNATIONAL JOURNAL OF FUNCTIONAL PLANT BIOLOGY,88
GENETICS AND MOLECULAR RESEARCH : GMR,88
PROTEOMICS,86
CELLS,86
JOURNAL OF GENETICS AND GENOMICS = YI CHUAN XUE BAO,83
TREE PHYSIOLOGY,82
MOLECULAR & CELLULAR PROTEOMICS : MCP,81
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,81
JOURNAL OF VISUALIZED EXPERIMENTS : JOVE,80
PLANT REPRODUCTION,79
NATURE GENETICS,79
JOURNAL OF PROTEOME RESEARCH,78
MOLECULAR CELL,77
DEVELOPMENTAL BIOLOGY,76
YI CHUAN = HEREDITAS,74
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,74
GENOMICS,74
JOURNAL OF HAZARDOUS MATERIALS,74
EMBO REPORTS,73
"MOLECULES (BASEL, SWITZERLAND)",70
BIOMOLECULES,69
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,69
GENES & GENETIC SYSTEMS,69
AUTOPHAGY,69
"ANTIOXIDANTS (BASEL, SWITZERLAND)",68
"RNA (NEW YORK, N.Y.)",67
COMMUNICATIONS BIOLOGY,65
SCIENCE ADVANCES,65
BIOTECHNOLOGY LETTERS,64
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON. SERIES B, BIOLOGICAL SCIENCES",64
PHYTOPATHOLOGY,64
3 BIOTECH,63
BIORXIV : THE PREPRINT SERVER FOR BIOLOGY,62
JOURNAL OF PROTEOMICS,59
"ACTA CRYSTALLOGRAPHICA. SECTION F, STRUCTURAL BIOLOGY AND CRYSTALLIZATION COMMUNICATIONS",59
JOURNAL OF MOLECULAR EVOLUTION,58
EVOLUTION; INTERNATIONAL JOURNAL OF ORGANIC EVOLUTION,58
SCIENCE CHINA. LIFE SCIENCES,57
VIROLOGY,56
BIOTECHNOLOGY FOR BIOFUELS,56
PROTEIN EXPRESSION AND PURIFICATION,56
JOURNAL OF BIOTECHNOLOGY,55
BMC EVOLUTIONARY BIOLOGY,55
BIOCHIMIE,55
MOLECULAR BIOLOGY OF THE CELL,55
JOURNAL OF VIROLOGY,54
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,53
THE ARABIDOPSIS BOOK,52
GENOME BIOLOGY AND EVOLUTION,52
BMC RESEARCH NOTES,52
ANNUAL REVIEW OF PLANT BIOLOGY,51
RNA BIOLOGY,51
PEST MANAGEMENT SCIENCE,51
ENVIRONMENTAL SCIENCE & TECHNOLOGY,50
ANALYTICAL CHEMISTRY,49
MOLECULAR BIOTECHNOLOGY,48
SHENG WU GONG CHENG XUE BAO = CHINESE JOURNAL OF BIOTECHNOLOGY,47
THE SCIENCE OF THE TOTAL ENVIRONMENT,47
CELL HOST & MICROBE,46
GENETIKA,46
CHEMOSPHERE,45
ISCIENCE,45
NATURE BIOTECHNOLOGY,44
ANALYTICAL BIOCHEMISTRY,43
JOURNAL OF CHEMICAL ECOLOGY,42
BMC SYSTEMS BIOLOGY,42
HEREDITY,42
PHOTOCHEMISTRY AND PHOTOBIOLOGY,41
METHODS IN ENZYMOLOGY,41
BMC BIOLOGY,40
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY. B, BIOLOGY",40
"CHROMOSOME RESEARCH : AN INTERNATIONAL JOURNAL ON THE MOLECULAR, SUPRAMOLECULAR AND EVOLUTIONARY ASPECTS OF CHROMOSOME BIOLOGY",39
ZHI WU SHENG LI YU FEN ZI SHENG WU XUE XUE BAO = JOURNAL OF PLANT PHYSIOLOGY AND MOLECULAR BIOLOGY,38
JOURNAL OF BACTERIOLOGY,37
CHROMOSOMA,37
PROTEIN SCIENCE : A PUBLICATION OF THE PROTEIN SOCIETY,37
"ENVIRONMENTAL POLLUTION (BARKING, ESSEX : 1987)",37
PROTEINS,37
MUTATION RESEARCH,37
NATURE PROTOCOLS,36
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,36
BIOLOGY,36
MOLECULAR AND CELLULAR BIOLOGY,36
PLOS COMPUTATIONAL BIOLOGY,36
CELLULAR AND MOLECULAR LIFE SCIENCES : CMLS,36
SCIENCE SIGNALING,35
THE JOURNAL OF GENERAL VIROLOGY,35
JOURNAL OF THEORETICAL BIOLOGY,35
"TRAFFIC (COPENHAGEN, DENMARK)",35
"LIFE (BASEL, SWITZERLAND)",34
METABOLITES,34
"RICE (NEW YORK, N.Y.)",34
JOURNAL OF BIOSCIENCES,34
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES : OFFICIAL JOURNAL OF THE EUROPEAN PHOTOCHEMISTRY ASSOCIATION AND THE EUROPEAN SOCIETY FOR PHOTOBIOLOGY,33
AMINO ACIDS,33
METABOLIC ENGINEERING,33
AOB PLANTS,33
NATURE CHEMICAL BIOLOGY,32
ADVANCES IN SPACE RESEARCH : THE OFFICIAL JOURNAL OF THE COMMITTEE ON SPACE RESEARCH (COSPAR),32
"ACTA CRYSTALLOGRAPHICA. SECTION D, BIOLOGICAL CRYSTALLOGRAPHY",31
DATA IN BRIEF,31
ENVIRONMENTAL MICROBIOLOGY,31
GENES & GENOMICS,31
MOLECULAR MICROBIOLOGY,31
DNA SEQUENCE : THE JOURNAL OF DNA SEQUENCING AND MAPPING,31
THE JOURNAL OF CELL BIOLOGY,30
BIOLOGICAL CHEMISTRY,30
BIOPHYSICAL JOURNAL,29
"ZEITSCHRIFT FUR NATURFORSCHUNG. C, JOURNAL OF BIOSCIENCES",29
JOURNAL OF BIOSCIENCE AND BIOENGINEERING,29
JOURNAL OF BIOCHEMISTRY,29
JOURNAL OF PINEAL RESEARCH,29
COMMUNICATIVE & INTEGRATIVE BIOLOGY,28
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL,28
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,28
OECOLOGIA,28
NATURE CELL BIOLOGY,28
ZHONGGUO ZHONG YAO ZA ZHI = ZHONGGUO ZHONGYAO ZAZHI = CHINA JOURNAL OF CHINESE MATERIA MEDICA,28
DNA REPAIR,28
THE JOURNAL OF HEREDITY,27
BOTANICAL STUDIES,27
GENETICA,27
JOURNAL OF GENETICS,27
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,27
"ACTA CRYSTALLOGRAPHICA. SECTION F, STRUCTURAL BIOLOGY COMMUNICATIONS",27
BIOORGANIC & MEDICINAL CHEMISTRY,26
LIPIDS,26
"BIOESSAYS : NEWS AND REVIEWS IN MOLECULAR, CELLULAR AND DEVELOPMENTAL BIOLOGY",26
COMPUTATIONAL BIOLOGY AND CHEMISTRY,26
FEBS OPEN BIO,25
GENETICS AND MOLECULAR BIOLOGY,25
BIOINFORMATION,25
BIOTECHNOLOGY AND BIOENGINEERING,25
