source	association type	target	source
GENE	LOCALIZES TO	CELL MEMBRANE	15720705
ATFH4	LOCALIZES TO	CELL MEMBRANE	16313636
ATFH8	LOCALIZES TO	CELL MEMBRANE	16313636
CELL MEMBRANE	DEPOLARIZED BY	ELICITOR	19183291
CPP	TRANSLOCATES ACROSS	CELL MEMBRANE	21138375
OSAG78	LOCALIZES TO	CELL MEMBRANE	21217124
CAN1/CAN2	LOCALIZES TO	CELL MEMBRANE	23102437
OSFWL PROTEINS	LOCALIZES TO	CELL MEMBRANE	23793979
GENE	LOCALIZES TO	CELL MEMBRANE	24610748
CELL MEMBRANE	TARGETS	OSCYL4A	25974367
PIN2	LOCALIZES TO	CELL MEMBRANE	26072661
EXO70A1	LOCALIZES TO	CELL MEMBRANE	28815958
PATL3	LOCALIZES TO	CELL MEMBRANE	28815958
GENE	LOCALIZES TO	CELL MEMBRANE	28898652
GENE	LOCALIZES TO	CELL MEMBRANE	29689203
DAMAGE	AFFECTS	CELL MEMBRANE	30040128
GENE	LOCALIZES TO	CELL MEMBRANE	30312462
CPK9	SUBCELLULARLY LOCATED IN	CELL MEMBRANE	30536042
GENE	PROTECTS	CELL MEMBRANE	30825373
GENE	LOCALIZES TO	CELL MEMBRANE	30836078
EFFECTOR PROTEINS	TARGETS	CELL MEMBRANE	31243548
LCHSL2	LOCALIZES TO	CELL MEMBRANE	31779183
VAMDHN3	ENHANCED THE STABILITY OF	CELL MEMBRANE	31967299
RBOHD	REPRESSES	CELL MEMBRANE	32916762
GHSLAC1	LOCALIZES TO	CELL MEMBRANE	33482420
CRRLK1L	LOCALIZES TO	CELL MEMBRANE	33815437
PIN PROTEINS	TRAFFIC CLOSE TO	CELL MEMBRANE	33854523
SIBRI1	LOCALIZES TO	CELL MEMBRANE	34167462
HUNIP6;1	LOCALIZES TO	CELL MEMBRANE	34299311
GHGASA10-1	LOCALIZES TO	CELL MEMBRANE	34615467
GHCDPK28-6	LOCALIZES TO	CELL MEMBRANE	34975954
MDTAC1B	LOCALIZES TO	CELL MEMBRANE	35163793
SLLECRK1	LOCALIZES TO	CELL MEMBRANE	35185997
GENE	LOCALIZES TO	CELL MEMBRANE	35216448
SCDIR5	LOCALIZES TO	CELL MEMBRANE	35628151
SCDIR7	LOCALIZES TO	CELL MEMBRANE	35628151
SCDIR11	LOCALIZES TO	CELL MEMBRANE	35628151
OSCHR715/739	LOCALIZES TO	CELL MEMBRANE	35712583
CRRLK1L	LOCALIZES TO	CELL MEMBRANE	35783983
MSRCI2D	LOCALIZES TO	CELL MEMBRANE	36077224
ASCEP112	LOCALIZES TO	CELL MEMBRANE	36171557
ZMABCB15	LOCALIZES TO	CELL MEMBRANE	36217105
CPC3H3	LOCALIZES TO	CELL MEMBRANE	36309643
CELL MEMBRANE	STABILIZED BY	'ZHI HONG'	36388495
CELLULAR STRUCTURES	REPRESSES	CELL MEMBRANE	36483956
CELL MEMBRANE	REPRESSES	NUTRIENT BALANCE	36483956
CSLAC18	LOCALIZES TO	CELL MEMBRANE	36498836
DLXTH23.5/25	LOCALIZES TO	CELL MEMBRANE	36507400
NFYA1	STABILIZES	CELL MEMBRANE	36726670
VVDNA JA6 & VVHSP70	LOCALIZES TO	CELL MEMBRANE	36844052
GENE	LOCALIZES TO	CELL MEMBRANE	36875590
GHOSM34	LOCALIZES TO	CELL MEMBRANE	36948889
KAT1	TRANSLOCATES TO	CELL MEMBRANE	9707551
